((54, 'wilting_point_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 1.0000000000000002)
((21, 'albedo_surface'), (34, 'friction_velocity_surface'), 0.16598348048104897)
((29, 'categorical_rain_yes1_no0_surface'), (36, 'plant_canopy_surface_water_surface'), 0.16553199753324438)
((12, 'relative_humidity_zerodegc_isotherm'), (42, 'geopotential_height_surface'), 0.16482981362959873)
((12, 'relative_humidity_zerodegc_isotherm'), (22, 'lightning_surface'), 0.16465448911167213)
((11, 'upward_short_wave_rad_flux_surface'), (41, 'snow_cover_surface'), 0.16453844136241033)
((25, 'pressure_surface'), (43, 'convective_available_potential_energy_surface'), 0.1643925750768182)
((13, 'categorical_snow_yes1_no0_surface'), (47, 'temperature_tropopause'), 0.16374760871278407)
((8, 'number_of_soil_layers_in_root_zone_surface'), (11, 'upward_short_wave_rad_flux_surface'), 0.16352340301316851)
((14, 'u-component_of_wind_tropopause'), (34, 'friction_velocity_surface'), 0.16326578992760063)
((11, 'upward_short_wave_rad_flux_surface'), (54, 'wilting_point_surface'), 0.1630843197143792)
((11, 'upward_short_wave_rad_flux_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.1630843197143792)
((8, 'number_of_soil_layers_in_root_zone_surface'), (56, 'u-component_of_wind_pblri'), 0.16072799297819856)
((12, 'relative_humidity_zerodegc_isotherm'), (19, 'vegitation_type_as_in_sib_surface'), 0.16062467694328733)
((18, 'land_cover_land1_sea0_surface'), (56, 'u-component_of_wind_pblri'), 0.15990758192468951)
((27, 'soil_porosity_surface'), (56, 'u-component_of_wind_pblri'), 0.15990758192468951)
((17, 'upward_long_wave_rad_flux_surface'), (25, 'pressure_surface'), 0.15961583877027696)
((29, 'categorical_rain_yes1_no0_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.1580703579674986)
((23, 'ice_cover_ice1_no_ice0_surface'), (47, 'temperature_tropopause'), 0.1572474783318715)
((11, 'upward_short_wave_rad_flux_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.15659842249678652)
((41, 'snow_cover_surface'), (56, 'u-component_of_wind_pblri'), 0.15654689764549534)
((19, 'vegitation_type_as_in_sib_surface'), (34, 'friction_velocity_surface'), 0.15470073273212437)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (56, 'u-component_of_wind_pblri'), 0.15426571377161055)
((3, 'water_equiv_of_accum_snow_depth_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.15351191790171653)
((29, 'categorical_rain_yes1_no0_surface'), (51, 'v-component_of_wind_tropopause'), 0.15340434770468336)
((33, 'geopotential_height_cloud_base'), (55, 'precipitable_water_entire_atmosphere'), 0.15280089143111247)
((11, 'upward_short_wave_rad_flux_surface'), (42, 'geopotential_height_surface'), 0.15247050338163132)
((29, 'categorical_rain_yes1_no0_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.15242948599861858)
((30, 'downward_long_wave_rad_flux_surface'), (51, 'v-component_of_wind_tropopause'), 0.14892257191485542)
((12, 'relative_humidity_zerodegc_isotherm'), (33, 'geopotential_height_cloud_base'), 0.14882885711158061)
((8, 'number_of_soil_layers_in_root_zone_surface'), (14, 'u-component_of_wind_tropopause'), 0.14881155159727599)
((24, 'convective_inhibition_surface'), (49, 'pressure_tropopause'), 0.14836982997488166)
((7, 'visibility_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.14682607627357736)
((33, 'geopotential_height_cloud_base'), (37, 'v-component_of_wind_maximum_wind'), 0.14569487665178504)
((33, 'geopotential_height_cloud_base'), (51, 'v-component_of_wind_tropopause'), 0.14563911754601122)
((17, 'upward_long_wave_rad_flux_surface'), (28, 'vegetation_surface'), 0.14455302061652861)
((14, 'u-component_of_wind_tropopause'), (18, 'land_cover_land1_sea0_surface'), 0.14265047675484388)
((14, 'u-component_of_wind_tropopause'), (27, 'soil_porosity_surface'), 0.14265047675484388)
((3, 'water_equiv_of_accum_snow_depth_surface'), (45, 'surface_roughness_surface'), 0.14251560462427049)
((14, 'u-component_of_wind_tropopause'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.14046719420383577)
((21, 'albedo_surface'), (46, 'pressure_maximum_wind'), 0.14014313810282072)
((12, 'relative_humidity_zerodegc_isotherm'), (20, 'v-component_of_wind_pblri'), 0.13949085982032036)
((34, 'friction_velocity_surface'), (46, 'pressure_maximum_wind'), 0.13696925916961761)
((47, 'temperature_tropopause'), (53, 'u-component_of_wind_maximum_wind'), 0.13694162782954175)
((30, 'downward_long_wave_rad_flux_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.13680023420802406)
((2, 'geopotential_height_lltw'), (33, 'geopotential_height_cloud_base'), 0.13652088107267563)
((34, 'friction_velocity_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.13417044404612338)
((2, 'geopotential_height_lltw'), (48, 'geopotential_height_pblri'), 0.13378900526961993)
((20, 'v-component_of_wind_pblri'), (29, 'categorical_rain_yes1_no0_surface'), 0.13299402420817721)
((30, 'downward_long_wave_rad_flux_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.13280572068285793)
((3, 'water_equiv_of_accum_snow_depth_surface'), (54, 'wilting_point_surface'), 0.13208177846715713)
((3, 'water_equiv_of_accum_snow_depth_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.13208177846715713)
((14, 'u-component_of_wind_tropopause'), (45, 'surface_roughness_surface'), 0.13144040139518454)
((11, 'upward_short_wave_rad_flux_surface'), (17, 'upward_long_wave_rad_flux_surface'), 0.13130770548380058)
((22, 'lightning_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.13110438500423402)
((29, 'categorical_rain_yes1_no0_surface'), (34, 'friction_velocity_surface'), 0.13067271285583093)
((2, 'geopotential_height_lltw'), (22, 'lightning_surface'), 0.12902590472517689)
((37, 'v-component_of_wind_maximum_wind'), (53, 'u-component_of_wind_maximum_wind'), 0.12784612508565976)
((34, 'friction_velocity_surface'), (50, 'snow_depth_surface'), 0.12701231063889859)
((15, 'surface_wind_gust_surface'), (49, 'pressure_tropopause'), 0.12680717476580691)
((24, 'convective_inhibition_surface'), (47, 'temperature_tropopause'), 0.12670044644526002)
((12, 'relative_humidity_zerodegc_isotherm'), (14, 'u-component_of_wind_tropopause'), 0.12494116516718705)
((13, 'categorical_snow_yes1_no0_surface'), (36, 'plant_canopy_surface_water_surface'), 0.12486163229580891)
((54, 'wilting_point_surface'), (56, 'u-component_of_wind_pblri'), 0.12401370560409994)
((56, 'u-component_of_wind_pblri'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.12401370560409994)
((42, 'geopotential_height_surface'), (47, 'temperature_tropopause'), 0.12225207854083607)
((12, 'relative_humidity_zerodegc_isotherm'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.12215539395664009)
((20, 'v-component_of_wind_pblri'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.12202963284923378)
((29, 'categorical_rain_yes1_no0_surface'), (33, 'geopotential_height_cloud_base'), 0.12045033855993516)
((3, 'water_equiv_of_accum_snow_depth_surface'), (42, 'geopotential_height_surface'), 0.1202441001379095)
((48, 'geopotential_height_pblri'), (56, 'u-component_of_wind_pblri'), 0.12014095204924173)
((14, 'u-component_of_wind_tropopause'), (54, 'wilting_point_surface'), 0.12009453568814971)
((14, 'u-component_of_wind_tropopause'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.12009453568814971)
((15, 'surface_wind_gust_surface'), (47, 'temperature_tropopause'), 0.11990931570245568)
((14, 'u-component_of_wind_tropopause'), (41, 'snow_cover_surface'), 0.119364533884406)
((33, 'geopotential_height_cloud_base'), (40, 'temperature_surface'), 0.11795559281992006)
((15, 'surface_wind_gust_surface'), (20, 'v-component_of_wind_pblri'), 0.11759269648841401)
((42, 'geopotential_height_surface'), (56, 'u-component_of_wind_pblri'), 0.11710020990134813)
((17, 'upward_long_wave_rad_flux_surface'), (33, 'geopotential_height_cloud_base'), 0.11643563033859762)
((2, 'geopotential_height_lltw'), (29, 'categorical_rain_yes1_no0_surface'), 0.11636937004592814)
((17, 'upward_long_wave_rad_flux_surface'), (22, 'lightning_surface'), 0.1157593009022078)
((2, 'geopotential_height_lltw'), (51, 'v-component_of_wind_tropopause'), 0.11567762051017373)
((14, 'u-component_of_wind_tropopause'), (15, 'surface_wind_gust_surface'), 0.11488590576966344)
((37, 'v-component_of_wind_maximum_wind'), (55, 'precipitable_water_entire_atmosphere'), 0.11457624153560486)
((11, 'upward_short_wave_rad_flux_surface'), (28, 'vegetation_surface'), 0.11385131153957749)
((14, 'u-component_of_wind_tropopause'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.11358709060376618)
((12, 'relative_humidity_zerodegc_isotherm'), (15, 'surface_wind_gust_surface'), 0.11334618620597324)
((22, 'lightning_surface'), (43, 'convective_available_potential_energy_surface'), 0.11330380177663193)
((51, 'v-component_of_wind_tropopause'), (55, 'precipitable_water_entire_atmosphere'), 0.11257400471688861)
((19, 'vegitation_type_as_in_sib_surface'), (56, 'u-component_of_wind_pblri'), 0.11197889279802858)
((22, 'lightning_surface'), (40, 'temperature_surface'), 0.11171691377481908)
((28, 'vegetation_surface'), (47, 'temperature_tropopause'), 0.1106838276871976)
((8, 'number_of_soil_layers_in_root_zone_surface'), (13, 'categorical_snow_yes1_no0_surface'), 0.11009544803964146)
((32, 'soil_type_as_in_zobler_surface'), (56, 'u-component_of_wind_pblri'), 0.11002510077794897)
((51, 'v-component_of_wind_tropopause'), (53, 'u-component_of_wind_maximum_wind'), 0.10959084181659498)
((45, 'surface_roughness_surface'), (56, 'u-component_of_wind_pblri'), 0.10888530421781592)
((20, 'v-component_of_wind_pblri'), (27, 'soil_porosity_surface'), 0.10881565797256883)
((18, 'land_cover_land1_sea0_surface'), (20, 'v-component_of_wind_pblri'), 0.10881565797256883)
((20, 'v-component_of_wind_pblri'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.10793427876794798)
((15, 'surface_wind_gust_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.10785974836596182)
((20, 'v-component_of_wind_pblri'), (55, 'precipitable_water_entire_atmosphere'), 0.10773375866369636)
((14, 'u-component_of_wind_tropopause'), (20, 'v-component_of_wind_pblri'), 0.106213931899434)
((24, 'convective_inhibition_surface'), (41, 'snow_cover_surface'), 0.10507555660340676)
((2, 'geopotential_height_lltw'), (37, 'v-component_of_wind_maximum_wind'), 0.10491648064696456)
((15, 'surface_wind_gust_surface'), (46, 'pressure_maximum_wind'), 0.10475065549152605)
((15, 'surface_wind_gust_surface'), (51, 'v-component_of_wind_tropopause'), 0.10430032968576204)
((7, 'visibility_surface'), (48, 'geopotential_height_pblri'), 0.10371274340616667)
((8, 'number_of_soil_layers_in_root_zone_surface'), (20, 'v-component_of_wind_pblri'), 0.10365556862551127)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (41, 'snow_cover_surface'), 0.10356142052717493)
((8, 'number_of_soil_layers_in_root_zone_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.10341356002014147)
((13, 'categorical_snow_yes1_no0_surface'), (18, 'land_cover_land1_sea0_surface'), 0.10314657650500199)
((13, 'categorical_snow_yes1_no0_surface'), (27, 'soil_porosity_surface'), 0.10314657650500199)
((3, 'water_equiv_of_accum_snow_depth_surface'), (34, 'friction_velocity_surface'), 0.10310471595879284)
((42, 'geopotential_height_surface'), (50, 'snow_depth_surface'), 0.1029174394512649)
((28, 'vegetation_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.10231580627470381)
((18, 'land_cover_land1_sea0_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.10153492993440888)
((27, 'soil_porosity_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.10153492993440888)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.10058777582236066)
((10, 'pressure_reduced_to_msl_msl'), (25, 'pressure_surface'), 0.10032958278216324)
((52, 'downward_short_wave_rad_flux_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.09932410635615975)
((50, 'snow_depth_surface'), (56, 'u-component_of_wind_pblri'), 0.099104499088425529)
((13, 'categorical_snow_yes1_no0_surface'), (15, 'surface_wind_gust_surface'), 0.098745202989185848)
((15, 'surface_wind_gust_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.098680812582350633)
((36, 'plant_canopy_surface_water_surface'), (46, 'pressure_maximum_wind'), 0.098626605733879893)
((28, 'vegetation_surface'), (40, 'temperature_surface'), 0.097360032893931997)
((13, 'categorical_snow_yes1_no0_surface'), (26, 'transpiration_stress-onset_soil_moisture_surface'), 0.096752341450783472)
((20, 'v-component_of_wind_pblri'), (54, 'wilting_point_surface'), 0.096618091787558466)
((20, 'v-component_of_wind_pblri'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.096618091787558466)
((14, 'u-component_of_wind_tropopause'), (37, 'v-component_of_wind_maximum_wind'), 0.096602245910130849)
((42, 'geopotential_height_surface'), (49, 'pressure_tropopause'), 0.096192680285782234)
((14, 'u-component_of_wind_tropopause'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.095672220178644921)
((13, 'categorical_snow_yes1_no0_surface'), (33, 'geopotential_height_cloud_base'), 0.094172862522442044)
((12, 'relative_humidity_zerodegc_isotherm'), (37, 'v-component_of_wind_maximum_wind'), 0.094146181465459403)
((38, 'geopotential_height_zerodegc_isotherm'), (48, 'geopotential_height_pblri'), 0.093997175414373663)
((22, 'lightning_surface'), (48, 'geopotential_height_pblri'), 0.09396795401008777)
((14, 'u-component_of_wind_tropopause'), (19, 'vegitation_type_as_in_sib_surface'), 0.093581059426438795)
((43, 'convective_available_potential_energy_surface'), (48, 'geopotential_height_pblri'), 0.092841847989060061)
((3, 'water_equiv_of_accum_snow_depth_surface'), (46, 'pressure_maximum_wind'), 0.091452636176662702)
((11, 'upward_short_wave_rad_flux_surface'), (49, 'pressure_tropopause'), 0.09128709153968792)
((25, 'pressure_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.090977197056083509)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (53, 'u-component_of_wind_maximum_wind'), 0.090698435096439378)
((15, 'surface_wind_gust_surface'), (33, 'geopotential_height_cloud_base'), 0.090623902615393451)
((7, 'visibility_surface'), (25, 'pressure_surface'), 0.090510567955758625)
((22, 'lightning_surface'), (33, 'geopotential_height_cloud_base'), 0.08989851520930725)
((14, 'u-component_of_wind_tropopause'), (51, 'v-component_of_wind_tropopause'), 0.08968566568319758)
((46, 'pressure_maximum_wind'), (50, 'snow_depth_surface'), 0.089616584403547625)
((39, 'mean_sea_level_pressure_nam_model_reduction_msl'), (41, 'snow_cover_surface'), 0.089524468392099474)
((20, 'v-component_of_wind_pblri'), (43, 'convective_available_potential_energy_surface'), 0.089202464559600153)
((45, 'surface_roughness_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.089150138516786145)
((40, 'temperature_surface'), (51, 'v-component_of_wind_tropopause'), 0.088736834809838683)
((14, 'u-component_of_wind_tropopause'), (21, 'albedo_surface'), 0.088723453224926405)
((53, 'u-component_of_wind_maximum_wind'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.088585833216000151)
((53, 'u-component_of_wind_maximum_wind'), (54, 'wilting_point_surface'), 0.088585833216000151)
((14, 'u-component_of_wind_tropopause'), (32, 'soil_type_as_in_zobler_surface'), 0.088305769453013827)
((13, 'categorical_snow_yes1_no0_surface'), (45, 'surface_roughness_surface'), 0.088166024576567928)
((33, 'geopotential_height_cloud_base'), (34, 'friction_velocity_surface'), 0.088141218755800402)
((7, 'visibility_surface'), (43, 'convective_available_potential_energy_surface'), 0.087901477651752935)
((8, 'number_of_soil_layers_in_root_zone_surface'), (46, 'pressure_maximum_wind'), 0.087665453524232634)
((24, 'convective_inhibition_surface'), (39, 'mean_sea_level_pressure_nam_model_reduction_msl'), 0.087194160822750735)
((3, 'water_equiv_of_accum_snow_depth_surface'), (36, 'plant_canopy_surface_water_surface'), 0.087155274105077229)
((19, 'vegitation_type_as_in_sib_surface'), (20, 'v-component_of_wind_pblri'), 0.087082403944021614)
((11, 'upward_short_wave_rad_flux_surface'), (40, 'temperature_surface'), 0.08651416382554826)
((23, 'ice_cover_ice1_no_ice0_surface'), (46, 'pressure_maximum_wind'), 0.086312832893224195)
((20, 'v-component_of_wind_pblri'), (32, 'soil_type_as_in_zobler_surface'), 0.085894589385115364)
((10, 'pressure_reduced_to_msl_msl'), (14, 'u-component_of_wind_tropopause'), 0.085591965754048746)
((20, 'v-component_of_wind_pblri'), (53, 'u-component_of_wind_maximum_wind'), 0.082976170827777113)
((11, 'upward_short_wave_rad_flux_surface'), (47, 'temperature_tropopause'), 0.082823353507835665)
((20, 'v-component_of_wind_pblri'), (28, 'vegetation_surface'), 0.081683275102471073)
((12, 'relative_humidity_zerodegc_isotherm'), (31, 'planetary_boundary_layer_height_surface'), 0.081492625127110738)
((45, 'surface_roughness_surface'), (46, 'pressure_maximum_wind'), 0.081303170543645886)
((20, 'v-component_of_wind_pblri'), (42, 'geopotential_height_surface'), 0.080342266746174201)
((12, 'relative_humidity_zerodegc_isotherm'), (16, 'total_cloud_cover_entire_atmosphere'), 0.080334007387790438)
((13, 'categorical_snow_yes1_no0_surface'), (42, 'geopotential_height_surface'), 0.079946014101255694)
((3, 'water_equiv_of_accum_snow_depth_surface'), (56, 'u-component_of_wind_pblri'), 0.079911501355632436)
((14, 'u-component_of_wind_tropopause'), (36, 'plant_canopy_surface_water_surface'), 0.079448753810036923)
((11, 'upward_short_wave_rad_flux_surface'), (56, 'u-component_of_wind_pblri'), 0.079338775466866074)
((16, 'total_cloud_cover_entire_atmosphere'), (38, 'geopotential_height_zerodegc_isotherm'), 0.078418267451589668)
((31, 'planetary_boundary_layer_height_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.077956109342846011)
((3, 'water_equiv_of_accum_snow_depth_surface'), (11, 'upward_short_wave_rad_flux_surface'), 0.077674365925944511)
((10, 'pressure_reduced_to_msl_msl'), (24, 'convective_inhibition_surface'), 0.077585034260111374)
((17, 'upward_long_wave_rad_flux_surface'), (51, 'v-component_of_wind_tropopause'), 0.077451740745189637)
((23, 'ice_cover_ice1_no_ice0_surface'), (25, 'pressure_surface'), 0.076578269676449651)
((10, 'pressure_reduced_to_msl_msl'), (41, 'snow_cover_surface'), 0.076479476467180577)
((18, 'land_cover_land1_sea0_surface'), (46, 'pressure_maximum_wind'), 0.076324971521144577)
((27, 'soil_porosity_surface'), (46, 'pressure_maximum_wind'), 0.076324971521144577)
((33, 'geopotential_height_cloud_base'), (36, 'plant_canopy_surface_water_surface'), 0.076259143943915864)
((37, 'v-component_of_wind_maximum_wind'), (40, 'temperature_surface'), 0.075209710627781437)
((24, 'convective_inhibition_surface'), (48, 'geopotential_height_pblri'), 0.074856880162493256)
((41, 'snow_cover_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.074452149515613422)
((34, 'friction_velocity_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.074216052573768856)
((12, 'relative_humidity_zerodegc_isotherm'), (51, 'v-component_of_wind_tropopause'), 0.073925268124055393)
((36, 'plant_canopy_surface_water_surface'), (56, 'u-component_of_wind_pblri'), 0.073651289323430888)
((33, 'geopotential_height_cloud_base'), (48, 'geopotential_height_pblri'), 0.073507261540557506)
((7, 'visibility_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.073305524421848248)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (46, 'pressure_maximum_wind'), 0.072915030201319467)
((31, 'planetary_boundary_layer_height_surface'), (33, 'geopotential_height_cloud_base'), 0.072634288203483416)
((26, 'transpiration_stress-onset_soil_moisture_surface'), (46, 'pressure_maximum_wind'), 0.072337704280856729)
((21, 'albedo_surface'), (28, 'vegetation_surface'), 0.072284834145974725)
((19, 'vegitation_type_as_in_sib_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.07155922412007909)
((22, 'lightning_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.07070490052461674)
((13, 'categorical_snow_yes1_no0_surface'), (51, 'v-component_of_wind_tropopause'), 0.070572349674935489)
((22, 'lightning_surface'), (36, 'plant_canopy_surface_water_surface'), 0.070326459692849466)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (55, 'precipitable_water_entire_atmosphere'), 0.069826799038480561)
((16, 'total_cloud_cover_entire_atmosphere'), (33, 'geopotential_height_cloud_base'), 0.069732904875867571)
((34, 'friction_velocity_surface'), (51, 'v-component_of_wind_tropopause'), 0.069547071893257845)
((13, 'categorical_snow_yes1_no0_surface'), (32, 'soil_type_as_in_zobler_surface'), 0.069163445831990245)
((11, 'upward_short_wave_rad_flux_surface'), (50, 'snow_depth_surface'), 0.069145597238554485)
((24, 'convective_inhibition_surface'), (34, 'friction_velocity_surface'), 0.068427131416965922)
((13, 'categorical_snow_yes1_no0_surface'), (54, 'wilting_point_surface'), 0.067738155341554376)
((13, 'categorical_snow_yes1_no0_surface'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.067738155341554376)
((39, 'mean_sea_level_pressure_nam_model_reduction_msl'), (53, 'u-component_of_wind_maximum_wind'), 0.067409979512739207)
((17, 'upward_long_wave_rad_flux_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.066454985147203813)
((23, 'ice_cover_ice1_no_ice0_surface'), (56, 'u-component_of_wind_pblri'), 0.066328690397962423)
((22, 'lightning_surface'), (34, 'friction_velocity_surface'), 0.065866532024013824)
((49, 'pressure_tropopause'), (53, 'u-component_of_wind_maximum_wind'), 0.06509344465462355)
((20, 'v-component_of_wind_pblri'), (56, 'u-component_of_wind_pblri'), 0.065090873059148874)
((13, 'categorical_snow_yes1_no0_surface'), (46, 'pressure_maximum_wind'), 0.064662636017708289)
((28, 'vegetation_surface'), (56, 'u-component_of_wind_pblri'), 0.063735765348772386)
((13, 'categorical_snow_yes1_no0_surface'), (19, 'vegitation_type_as_in_sib_surface'), 0.06354586338300415)
((20, 'v-component_of_wind_pblri'), (22, 'lightning_surface'), 0.062985165671692114)
((32, 'soil_type_as_in_zobler_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.062881316378678262)
((22, 'lightning_surface'), (51, 'v-component_of_wind_tropopause'), 0.062709483745962746)
((24, 'convective_inhibition_surface'), (50, 'snow_depth_surface'), 0.06249547095196014)
((13, 'categorical_snow_yes1_no0_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.062334415253725149)
((31, 'planetary_boundary_layer_height_surface'), (34, 'friction_velocity_surface'), 0.06231010235705782)
((28, 'vegetation_surface'), (52, 'downward_short_wave_rad_flux_surface'), 0.062019090100865835)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (45, 'surface_roughness_surface'), 0.061894573212337912)
((22, 'lightning_surface'), (38, 'geopotential_height_zerodegc_isotherm'), 0.061176117725425389)
((10, 'pressure_reduced_to_msl_msl'), (53, 'u-component_of_wind_maximum_wind'), 0.060828080445031518)
((2, 'geopotential_height_lltw'), (20, 'v-component_of_wind_pblri'), 0.060652089154277312)
((36, 'plant_canopy_surface_water_surface'), (37, 'v-component_of_wind_maximum_wind'), 0.059910688188500441)
((28, 'vegetation_surface'), (29, 'categorical_rain_yes1_no0_surface'), 0.059845489713551046)
((11, 'upward_short_wave_rad_flux_surface'), (46, 'pressure_maximum_wind'), 0.058752119241400481)
((3, 'water_equiv_of_accum_snow_depth_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.057947461048391866)
((12, 'relative_humidity_zerodegc_isotherm'), (24, 'convective_inhibition_surface'), 0.057774726747917358)
((7, 'visibility_surface'), (55, 'precipitable_water_entire_atmosphere'), 0.057611509768890318)
((38, 'geopotential_height_zerodegc_isotherm'), (51, 'v-component_of_wind_tropopause'), 0.057509948924430974)
((13, 'categorical_snow_yes1_no0_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.05747651552539651)
((20, 'v-component_of_wind_pblri'), (45, 'surface_roughness_surface'), 0.057052891277364418)
((12, 'relative_humidity_zerodegc_isotherm'), (28, 'vegetation_surface'), 0.056878941580438019)
((22, 'lightning_surface'), (28, 'vegetation_surface'), 0.056752961019525934)
((15, 'surface_wind_gust_surface'), (23, 'ice_cover_ice1_no_ice0_surface'), 0.05606684282460192)
((21, 'albedo_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.056007675879868685)
((15, 'surface_wind_gust_surface'), (30, 'downward_long_wave_rad_flux_surface'), 0.055169780463781931)
((33, 'geopotential_height_cloud_base'), (53, 'u-component_of_wind_maximum_wind'), 0.055073280513355208)
((29, 'categorical_rain_yes1_no0_surface'), (47, 'temperature_tropopause'), 0.054999398508612407)
((24, 'convective_inhibition_surface'), (46, 'pressure_maximum_wind'), 0.054220389531977865)
((14, 'u-component_of_wind_tropopause'), (33, 'geopotential_height_cloud_base'), 0.05395752267399416)
((28, 'vegetation_surface'), (48, 'geopotential_height_pblri'), 0.053787781542957172)
((39, 'mean_sea_level_pressure_nam_model_reduction_msl'), (50, 'snow_depth_surface'), 0.053770310609083369)
((14, 'u-component_of_wind_tropopause'), (24, 'convective_inhibition_surface'), 0.053405329755388316)
((36, 'plant_canopy_surface_water_surface'), (51, 'v-component_of_wind_tropopause'), 0.053017957692711663)
((29, 'categorical_rain_yes1_no0_surface'), (40, 'temperature_surface'), 0.052937608256158911)
((3, 'water_equiv_of_accum_snow_depth_surface'), (24, 'convective_inhibition_surface'), 0.052028859983977618)
((46, 'pressure_maximum_wind'), (54, 'wilting_point_surface'), 0.051382876545640103)
((46, 'pressure_maximum_wind'), (57, 'direct_evaporation_cease_soil_moisture_surface'), 0.051382876545640103)
((16, 'total_cloud_cover_entire_atmosphere'), (34, 'friction_velocity_surface'), 0.051165602604049627)
((20, 'v-component_of_wind_pblri'), (34, 'friction_velocity_surface'), 0.050841576760969183)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), 0.050605324147213984)
((35, 'maximumcomposite_radar_reflectivity_entire_atmosphere'), (50, 'snow_depth_surface'), 0.050558477210058239)
((19, 'vegitation_type_as_in_sib_surface'), (45, 'surface_roughness_surface'), 0.050514230258441331)
((12, 'relative_humidity_zerodegc_isotherm'), (53, 'u-component_of_wind_maximum_wind'), 0.050107502975512121)
((9, 'categorical_freezing_rain_yes1_no0_surface'), (41, 'snow_cover_surface'), 0.049694827697376528)
((36, 'plant_canopy_surface_water_surface'), (50, 'snow_depth_surface'), 0.049137100753178314)
((32, 'soil_type_as_in_zobler_surface'), (46, 'pressure_maximum_wind'), 0.048998944933898225)
((11, 'upward_short_wave_rad_flux_surface'), (45, 'surface_roughness_surface'), 0.048927868791032642)
((36, 'plant_canopy_surface_water_surface'), (53, 'u-component_of_wind_maximum_wind'), 0.048366640724288104)
((14, 'u-component_of_wind_tropopause'), (50, 'snow_depth_surface'), 0.048361739983466823)
((22, 'lightning_surface'), (42, 'geopotential_height_surface'), 0.047311002923862311)
((21, 'albedo_surface'), (24, 'convective_inhibition_surface'), 0.047004157650263133)
((13, 'categorical_snow_yes1_no0_surface'), (56, 'u-component_of_wind_pblri'), 0.046950531490836576)
((15, 'surface_wind_gust_surface'), (24, 'convective_inhibition_surface'), 0.046857821933416921)
((10, 'pressure_reduced_to_msl_msl'), (50, 'snow_depth_surface'), 0.046470775597805929)
((17, 'upward_long_wave_rad_flux_surface'), (29, 'categorical_rain_yes1_no0_surface'), 0.046412745774552344)
((33, 'geopotential_height_cloud_base'), (43, 'convective_available_potential_energy_surface'), 0.045497929560676685)
